suite,condition,seed,train_n,test_n,method,repair_library_size,success_threshold,severity,nuisance_strength,n,success_rate,mean_final_error,p95_final_error,mean_reward,mean_regret,p95_regret,repair_accuracy,mechanism_accuracy,unknown_reject_rate
threshold_sensitivity,threshold_0.03,7100,650,800,nominal_no_adaptation,5,0.03,1.0,1.0,800,0.55625,0.09810052790872707,0.3683581566347234,-0.12875304477598032,0.10691332051109564,0.40676027171575846,0.0,,
threshold_sensitivity,threshold_0.03,7100,650,800,passive_stat_fine,5,0.03,1.0,1.0,800,1.0,0.002526227153762065,0.010677798883608869,-0.022958942807144497,0.0011192185422599246,0.008987202635651271,0.90875,,
threshold_sensitivity,threshold_0.03,7100,650,800,probe_nearest_neighbor,5,0.03,1.0,1.0,800,1.0,0.0019034964614112995,0.0095690801061451,-0.021839724264884598,0.0,0.0,1.0,1.0,0.0
threshold_sensitivity,threshold_0.03,7100,650,800,mechanism_first,5,0.03,1.0,1.0,800,1.0,0.0019034964614112995,0.0095690801061451,-0.021839724264884598,0.0,0.0,1.0,1.0,0.0
threshold_sensitivity,threshold_0.03,7100,650,800,oracle_best_repair,5,0.03,1.0,1.0,800,1.0,0.0019034964614112995,0.0095690801061451,-0.021839724264884598,0.0,0.0,1.0,,
threshold_sensitivity,threshold_0.03,7101,650,800,nominal_no_adaptation,5,0.03,1.0,1.0,800,0.59,0.08412704031879416,0.2371026533030025,-0.11385226402497835,0.0918282653644802,0.25059953249549505,0.0,,
threshold_sensitivity,threshold_0.03,7101,650,800,passive_stat_fine,5,0.03,1.0,1.0,800,0.99875,0.002226163577450366,0.010164935744019221,-0.022950856867500383,0.0009268582070024497,0.004176242097130679,0.89625,,
threshold_sensitivity,threshold_0.03,7101,650,800,probe_nearest_neighbor,5,0.03,1.0,1.0,800,1.0,0.0017997069152292334,0.009684666823081,-0.022023998660497937,0.0,0.0,1.0,1.0,0.0
threshold_sensitivity,threshold_0.03,7101,650,800,mechanism_first,5,0.03,1.0,1.0,800,1.0,0.0017997069152292334,0.009684666823081,-0.022023998660497937,0.0,0.0,1.0,1.0,0.0
threshold_sensitivity,threshold_0.03,7101,650,800,oracle_best_repair,5,0.03,1.0,1.0,800,1.0,0.0017997069152292334,0.009684666823081,-0.022023998660497937,0.0,0.0,1.0,,
threshold_sensitivity,threshold_0.03,7102,650,800,nominal_no_adaptation,5,0.03,1.0,1.0,800,0.59625,0.08280675540705003,0.23715881083708223,-0.11250867385587998,0.09040772300081755,0.25203027558738617,0.0,,
threshold_sensitivity,threshold_0.03,7102,650,800,passive_stat_fine,5,0.03,1.0,1.0,800,0.99625,0.0027367691543720395,0.010443920313167432,-0.023549835069831115,0.001448884214768595,0.00920362286882712,0.885,,
threshold_sensitivity,threshold_0.03,7102,650,800,probe_nearest_neighbor,5,0.03,1.0,1.0,800,1.0,0.0018048771144172332,0.009090624164042493,-0.022100950855062532,0.0,0.0,1.0,1.0,0.0
threshold_sensitivity,threshold_0.03,7102,650,800,mechanism_first,5,0.03,1.0,1.0,800,1.0,0.0018048771144172332,0.009090624164042493,-0.022100950855062532,0.0,0.0,1.0,1.0,0.0
threshold_sensitivity,threshold_0.03,7102,650,800,oracle_best_repair,5,0.03,1.0,1.0,800,1.0,0.0018048771144172332,0.009090624164042493,-0.022100950855062532,0.0,0.0,1.0,,
threshold_sensitivity,threshold_0.03,7103,650,800,nominal_no_adaptation,5,0.03,1.0,1.0,800,0.56875,0.0931176934761687,0.29402512658532654,-0.12356824827367577,0.10191046763818891,0.3317837347996724,0.0,,
threshold_sensitivity,threshold_0.03,7103,650,800,passive_stat_fine,5,0.03,1.0,1.0,800,0.99625,0.0024725842899091686,0.01059255323736441,-0.02315084210464531,0.0014930614691586344,0.00548939401085146,0.87875,,
threshold_sensitivity,threshold_0.03,7103,650,800,probe_nearest_neighbor,5,0.03,1.0,1.0,800,1.0,0.0017748773863234535,0.008956330277977487,-0.021657780635486713,0.0,0.0,1.0,1.0,0.0
threshold_sensitivity,threshold_0.03,7103,650,800,mechanism_first,5,0.03,1.0,1.0,800,1.0,0.0017748773863234535,0.008956330277977487,-0.021657780635486713,0.0,0.0,1.0,1.0,0.0
threshold_sensitivity,threshold_0.03,7103,650,800,oracle_best_repair,5,0.03,1.0,1.0,800,1.0,0.0017748773863234535,0.008956330277977487,-0.021657780635486713,0.0,0.0,1.0,,
