suite,condition,seed,train_n,test_n,method,repair_library_size,success_threshold,severity,nuisance_strength,n,success_rate,mean_final_error,p95_final_error,mean_reward,mean_regret,p95_regret,repair_accuracy,mechanism_accuracy,unknown_reject_rate
scale_sweep,train_80,7100,80,700,passive_stat_fine,5,0.07,1.0,1.0,700,0.9985714285714286,0.003063294079181431,0.011178560126530956,-0.02467231298206735,0.0028847052339146654,0.020895323397175532,0.8171428571428572,,
scale_sweep,train_80,7100,80,700,passive_vector_nn,5,0.07,1.0,1.0,700,1.0,0.0015359211326737908,0.008642347799699301,-0.021787607748152717,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7100,80,700,probe_nearest_neighbor,5,0.07,1.0,1.0,700,1.0,0.0015359211326737908,0.008642347799699301,-0.021787607748152717,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7100,80,700,mechanism_first,5,0.07,1.0,1.0,700,1.0,0.0015359211326737908,0.008642347799699301,-0.021787607748152717,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7100,80,700,oracle_best_repair,5,0.07,1.0,1.0,700,1.0,0.0015359211326737908,0.008642347799699301,-0.021787607748152717,0.0,0.0,1.0,,
scale_sweep,train_80,7101,80,700,passive_stat_fine,5,0.07,1.0,1.0,700,1.0,0.003849803496334539,0.0146757750500357,-0.02534953836303349,0.0034762737528917314,0.020872242520310978,0.7728571428571429,,
scale_sweep,train_80,7101,80,700,passive_vector_nn,5,0.07,1.0,1.0,700,1.0,0.0017668068610571584,0.009224073599753302,-0.021873264610141843,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7101,80,700,probe_nearest_neighbor,5,0.07,1.0,1.0,700,1.0,0.0017668068610571584,0.009224073599753302,-0.021873264610141843,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7101,80,700,mechanism_first,5,0.07,1.0,1.0,700,1.0,0.0017668068610571584,0.009224073599753302,-0.021873264610141843,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7101,80,700,oracle_best_repair,5,0.07,1.0,1.0,700,1.0,0.0017668068610571584,0.009224073599753302,-0.021873264610141843,0.0,0.0,1.0,,
scale_sweep,train_80,7102,80,700,passive_stat_fine,5,0.07,1.0,1.0,700,0.9942857142857143,0.0034688715615921735,0.011704790609824767,-0.025309068056964444,0.003336072991725287,0.021424499807131635,0.7985714285714286,,
scale_sweep,train_80,7102,80,700,passive_vector_nn,5,0.07,1.0,1.0,700,1.0,0.001490369854070246,0.008661373613762957,-0.021972995065239264,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7102,80,700,probe_nearest_neighbor,5,0.07,1.0,1.0,700,1.0,0.001490369854070246,0.008661373613762957,-0.021972995065239264,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7102,80,700,mechanism_first,5,0.07,1.0,1.0,700,1.0,0.001490369854070246,0.008661373613762957,-0.021972995065239264,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7102,80,700,oracle_best_repair,5,0.07,1.0,1.0,700,1.0,0.001490369854070246,0.008661373613762957,-0.021972995065239264,0.0,0.0,1.0,,
scale_sweep,train_80,7103,80,700,passive_stat_fine,5,0.07,1.0,1.0,700,0.9985714285714286,0.003318039958701979,0.012405529526006598,-0.02551409166907117,0.003473304726769205,0.023084571348828607,0.75,,
scale_sweep,train_80,7103,80,700,passive_vector_nn,5,0.07,1.0,1.0,700,1.0,0.001536853826672739,0.008961986930952737,-0.022040786942302007,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7103,80,700,probe_nearest_neighbor,5,0.07,1.0,1.0,700,1.0,0.001536853826672739,0.008961986930952737,-0.022040786942302007,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7103,80,700,mechanism_first,5,0.07,1.0,1.0,700,1.0,0.001536853826672739,0.008961986930952737,-0.022040786942302007,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_80,7103,80,700,oracle_best_repair,5,0.07,1.0,1.0,700,1.0,0.001536853826672739,0.008961986930952737,-0.022040786942302007,0.0,0.0,1.0,,
