suite,condition,seed,train_n,test_n,method,repair_library_size,success_threshold,severity,nuisance_strength,n,success_rate,mean_final_error,p95_final_error,mean_reward,mean_regret,p95_regret,repair_accuracy,mechanism_accuracy,unknown_reject_rate
mechanism_mix,uniform,7100,650,850,nominal_no_adaptation,5,0.07,1.0,1.0,850,0.7,0.08128680192766564,0.2375214061376778,-0.1112217528497614,0.08939052203163793,0.2509964005285163,0.0,,
mechanism_mix,uniform,7100,650,850,single_robust_repair,5,0.07,1.0,1.0,850,0.9035294117647059,0.02197443983936892,0.07755727463796336,-0.04347221398516362,0.02164098316703998,0.07503215172999372,0.24352941176470588,,
mechanism_mix,uniform,7100,650,850,passive_stat_fine,5,0.07,1.0,1.0,850,0.9952941176470588,0.0027836021047029985,0.010676246991774496,-0.023470867836987815,0.0016396370188642919,0.009551559602273788,0.8941176470588236,,
mechanism_mix,uniform,7100,650,850,passive_vector_nn,5,0.07,1.0,1.0,850,1.0,0.001669324877187008,0.00904566385283867,-0.021831230818123586,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7100,650,850,probe_nearest_neighbor,5,0.07,1.0,1.0,850,1.0,0.001669324877187008,0.00904566385283867,-0.021831230818123586,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7100,650,850,mechanism_first,5,0.07,1.0,1.0,850,1.0,0.001669324877187008,0.00904566385283867,-0.021831230818123586,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7100,650,850,oracle_best_repair,5,0.07,1.0,1.0,850,1.0,0.001669324877187008,0.00904566385283867,-0.021831230818123586,0.0,0.0,1.0,,
mechanism_mix,uniform,7101,650,850,nominal_no_adaptation,5,0.07,1.0,1.0,850,0.7023529411764706,0.0801145030333475,0.23624572077903794,-0.1101450625871664,0.08817831316993983,0.25042382937580004,0.0,,
mechanism_mix,uniform,7101,650,850,single_robust_repair,5,0.07,1.0,1.0,850,0.9188235294117647,0.022804861408183455,0.07628708685905661,-0.04454324811888962,0.02257649870166292,0.07382779831140046,0.22470588235294117,,
mechanism_mix,uniform,7101,650,850,passive_stat_fine,5,0.07,1.0,1.0,850,1.0,0.002288468031411324,0.010384239001061002,-0.02340735453530918,0.0014406051180825034,0.014269808786340463,0.8917647058823529,,
mechanism_mix,uniform,7101,650,850,passive_vector_nn,5,0.07,1.0,1.0,850,1.0,0.0015760975530075536,0.009018107418594212,-0.021966749417226723,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7101,650,850,probe_nearest_neighbor,5,0.07,1.0,1.0,850,1.0,0.0015760975530075536,0.009018107418594212,-0.021966749417226723,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7101,650,850,mechanism_first,5,0.07,1.0,1.0,850,1.0,0.0015760975530075536,0.009018107418594212,-0.021966749417226723,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7101,650,850,oracle_best_repair,5,0.07,1.0,1.0,850,1.0,0.0015760975530075536,0.009018107418594212,-0.021966749417226723,0.0,0.0,1.0,,
mechanism_mix,uniform,7102,650,850,nominal_no_adaptation,5,0.07,1.0,1.0,850,0.6611764705882353,0.094543863449765,0.3369832710187117,-0.12475217353531305,0.10318491060289467,0.3751231550781623,0.0,,
mechanism_mix,uniform,7102,650,850,single_robust_repair,5,0.07,1.0,1.0,850,0.9294117647058824,0.02044669475703172,0.07499013064335436,-0.04177547642695786,0.020208213494539305,0.0725968135165434,0.26588235294117646,,
mechanism_mix,uniform,7102,650,850,passive_stat_fine,5,0.07,1.0,1.0,850,0.9964705882352941,0.00288481027006212,0.011144549517372204,-0.023405403757493073,0.00183814082507452,0.015553222580443404,0.888235294117647,,
mechanism_mix,uniform,7102,650,850,passive_vector_nn,5,0.07,1.0,1.0,850,1.0,0.0017394340455510577,0.008721153459534725,-0.02156726293241857,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7102,650,850,probe_nearest_neighbor,5,0.07,1.0,1.0,850,1.0,0.0017394340455510577,0.008721153459534725,-0.02156726293241857,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7102,650,850,mechanism_first,5,0.07,1.0,1.0,850,1.0,0.0017394340455510577,0.008721153459534725,-0.02156726293241857,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7102,650,850,oracle_best_repair,5,0.07,1.0,1.0,850,1.0,0.0017394340455510577,0.008721153459534725,-0.02156726293241857,0.0,0.0,1.0,,
mechanism_mix,uniform,7103,650,850,nominal_no_adaptation,5,0.07,1.0,1.0,850,0.6670588235294118,0.09480476208438589,0.3933306750347,-0.1250527555322174,0.10331363972929139,0.4320153046023096,0.0,,
mechanism_mix,uniform,7103,650,850,single_robust_repair,5,0.07,1.0,1.0,850,0.9258823529411765,0.020975304741902352,0.07653022044055946,-0.04247540244258653,0.02073628663966054,0.0740584246915207,0.2529411764705882,,
mechanism_mix,uniform,7103,650,850,passive_stat_fine,5,0.07,1.0,1.0,850,1.0,0.002448072402813848,0.010250884582058473,-0.023002800874708556,0.0012636850717825045,0.009306949260815406,0.8988235294117647,,
mechanism_mix,uniform,7103,650,850,passive_vector_nn,5,0.07,1.0,1.0,850,1.0,0.0017377851731815168,0.009119635443184615,-0.02173911580292607,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7103,650,850,probe_nearest_neighbor,5,0.07,1.0,1.0,850,1.0,0.0017377851731815168,0.009119635443184615,-0.02173911580292607,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7103,650,850,mechanism_first,5,0.07,1.0,1.0,850,1.0,0.0017377851731815168,0.009119635443184615,-0.02173911580292607,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7103,650,850,oracle_best_repair,5,0.07,1.0,1.0,850,1.0,0.0017377851731815168,0.009119635443184615,-0.02173911580292607,0.0,0.0,1.0,,
mechanism_mix,uniform,7104,650,850,nominal_no_adaptation,5,0.07,1.0,1.0,850,0.6882352941176471,0.08435127441566323,0.24034766728317714,-0.11416851319572055,0.09236899836994691,0.27713226726744783,0.0,,
mechanism_mix,uniform,7104,650,850,single_robust_repair,5,0.07,1.0,1.0,850,0.9188235294117647,0.021404021825078345,0.07729774269864864,-0.04286850832118203,0.021068993495408354,0.07478617110084708,0.24235294117647058,,
mechanism_mix,uniform,7104,650,850,passive_stat_fine,5,0.07,1.0,1.0,850,1.0,0.002251780124248776,0.010535077967989692,-0.022975583382759252,0.001176068556985582,0.008865289986068666,0.8870588235294118,,
mechanism_mix,uniform,7104,650,850,passive_vector_nn,5,0.07,1.0,1.0,850,1.0,0.0016858296691790575,0.00970788469011652,-0.021799514825773695,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7104,650,850,probe_nearest_neighbor,5,0.07,1.0,1.0,850,1.0,0.0016858296691790575,0.00970788469011652,-0.021799514825773695,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7104,650,850,mechanism_first,5,0.07,1.0,1.0,850,1.0,0.0016858296691790575,0.00970788469011652,-0.021799514825773695,0.0,0.0,1.0,1.0,0.0
mechanism_mix,uniform,7104,650,850,oracle_best_repair,5,0.07,1.0,1.0,850,1.0,0.0016858296691790575,0.00970788469011652,-0.021799514825773695,0.0,0.0,1.0,,
