suite,condition,seed,train_n,test_n,method,repair_library_size,success_threshold,severity,nuisance_strength,n,success_rate,mean_final_error,p95_final_error,mean_reward,mean_regret,p95_regret,repair_accuracy,mechanism_accuracy,unknown_reject_rate
scale_sweep,train_320,7100,320,700,passive_stat_fine,5,0.07,1.0,1.0,700,1.0,0.002720540486624763,0.010703889174764503,-0.0240839283293395,0.0017034982520038376,0.015482260820077285,0.87,,
scale_sweep,train_320,7100,320,700,passive_vector_nn,5,0.07,1.0,1.0,700,1.0,0.0017530948996441603,0.009516901435519642,-0.022380430077335707,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7100,320,700,probe_nearest_neighbor,5,0.07,1.0,1.0,700,1.0,0.0017530948996441603,0.009516901435519642,-0.022380430077335707,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7100,320,700,mechanism_first,5,0.07,1.0,1.0,700,1.0,0.0017530948996441603,0.009516901435519642,-0.022380430077335707,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7100,320,700,oracle_best_repair,5,0.07,1.0,1.0,700,1.0,0.0017530948996441603,0.009516901435519642,-0.022380430077335707,0.0,0.0,1.0,,
scale_sweep,train_320,7101,320,700,passive_stat_fine,5,0.07,1.0,1.0,700,0.9942857142857143,0.003402311074508051,0.011715995383016042,-0.024482075028659164,0.0025574298930352585,0.02006105953985875,0.8528571428571429,,
scale_sweep,train_320,7101,320,700,passive_vector_nn,5,0.07,1.0,1.0,700,1.0,0.0018781472198005928,0.010005599276468158,-0.021924645135623946,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7101,320,700,probe_nearest_neighbor,5,0.07,1.0,1.0,700,1.0,0.0018781472198005928,0.010005599276468158,-0.021924645135623946,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7101,320,700,mechanism_first,5,0.07,1.0,1.0,700,1.0,0.0018781472198005928,0.010005599276468158,-0.021924645135623946,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7101,320,700,oracle_best_repair,5,0.07,1.0,1.0,700,1.0,0.0018781472198005928,0.010005599276468158,-0.021924645135623946,0.0,0.0,1.0,,
scale_sweep,train_320,7102,320,700,passive_stat_fine,5,0.07,1.0,1.0,700,0.9971428571428571,0.0034687240451007,0.011811861259401923,-0.024721690532191854,0.0029710184894585854,0.022642676094940774,0.8271428571428572,,
scale_sweep,train_320,7102,320,700,passive_vector_nn,5,0.07,1.0,1.0,700,1.0,0.001799476230123592,0.009770574864839787,-0.021750672042733295,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7102,320,700,probe_nearest_neighbor,5,0.07,1.0,1.0,700,1.0,0.001799476230123592,0.009770574864839787,-0.021750672042733295,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7102,320,700,mechanism_first,5,0.07,1.0,1.0,700,1.0,0.001799476230123592,0.009770574864839787,-0.021750672042733295,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7102,320,700,oracle_best_repair,5,0.07,1.0,1.0,700,1.0,0.001799476230123592,0.009770574864839787,-0.021750672042733295,0.0,0.0,1.0,,
scale_sweep,train_320,7103,320,700,passive_stat_fine,5,0.07,1.0,1.0,700,1.0,0.002598900714465264,0.01096791909751682,-0.023553183218734286,0.001792235187096037,0.013639528782531277,0.8557142857142858,,
scale_sweep,train_320,7103,320,700,passive_vector_nn,5,0.07,1.0,1.0,700,1.0,0.0017180222781175525,0.009054783181915105,-0.02176094803163828,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7103,320,700,probe_nearest_neighbor,5,0.07,1.0,1.0,700,1.0,0.0017180222781175525,0.009054783181915105,-0.02176094803163828,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7103,320,700,mechanism_first,5,0.07,1.0,1.0,700,1.0,0.0017180222781175525,0.009054783181915105,-0.02176094803163828,0.0,0.0,1.0,1.0,0.0
scale_sweep,train_320,7103,320,700,oracle_best_repair,5,0.07,1.0,1.0,700,1.0,0.0017180222781175525,0.009054783181915105,-0.02176094803163828,0.0,0.0,1.0,,
