suite,condition,seed,train_n,test_n,method,repair_library_size,success_threshold,severity,nuisance_strength,n,success_rate,mean_final_error,p95_final_error,mean_reward,mean_regret,p95_regret,repair_accuracy,mechanism_accuracy,unknown_reject_rate
unknown_mixed,slip_compliance,7100,650,850,nominal_no_adaptation,5,0.07,1.0,1.0,850,0.9694117647058823,0.010726512135418507,0.026709098102169926,-0.04134140509165896,0.021884638683133263,0.0514390545375029,0.0,,
unknown_mixed,slip_compliance,7100,650,850,single_robust_repair,5,0.07,1.0,1.0,850,1.0,0.006776593444539584,0.014475915518193494,-0.02953673451283939,0.010079968104313771,0.022938708001982954,0.0,,
unknown_mixed,slip_compliance,7100,650,850,passive_stat_fine,5,0.07,1.0,1.0,850,1.0,0.006776593444539584,0.014475915518193494,-0.02953673451283939,0.010079968104313771,0.022938708001982954,0.0,,
unknown_mixed,slip_compliance,7100,650,850,probe_nearest_neighbor,5,0.07,1.0,1.0,850,0.9905882352941177,0.003879246945820963,0.014057384833002229,-0.035951373998587874,0.01649460759006221,0.04104821918046408,0.0,0.0,0.0
unknown_mixed,slip_compliance,7100,650,850,mechanism_first,5,0.07,1.0,1.0,850,0.9905882352941177,0.003879246945820963,0.014057384833002229,-0.035951373998587874,0.01649460759006221,0.04104821918046408,0.0,0.0,0.0
unknown_mixed,slip_compliance,7100,650,850,mechanism_first_reject,5,0.07,1.0,1.0,850,0.9823529411764705,0.006457729178582307,0.023839848790210505,-0.03717008621242965,0.017713319803903962,0.04777992960504364,0.0,0.0,0.6811764705882353
unknown_mixed,slip_compliance,7100,650,850,oracle_best_repair,5,0.07,1.0,1.0,850,1.0,0.00010425548007513653,0.00018830840055339415,-0.019456766408525603,0.0,0.0,1.0,,
unknown_mixed,slip_compliance,7101,650,850,nominal_no_adaptation,5,0.07,1.0,1.0,850,0.9752941176470589,0.008129666555609809,0.022426530373544362,-0.0385322921317946,0.019080123702713253,0.045526048605286085,0.0,,
unknown_mixed,slip_compliance,7101,650,850,single_robust_repair,5,0.07,1.0,1.0,850,1.0,0.006561952152823776,0.013328707119537264,-0.029217262050338696,0.009765093621257388,0.021592591571217443,0.0,,
unknown_mixed,slip_compliance,7101,650,850,passive_stat_fine,5,0.07,1.0,1.0,850,1.0,0.006561952152823776,0.013328707119537264,-0.029217262050338696,0.009765093621257388,0.021592591571217443,0.0,,
unknown_mixed,slip_compliance,7101,650,850,probe_nearest_neighbor,5,0.07,1.0,1.0,850,0.9952941176470588,0.003207235311556292,0.01250866179801069,-0.035087874526918125,0.01563570609783683,0.03901183247072576,0.0,0.0,0.0
unknown_mixed,slip_compliance,7101,650,850,mechanism_first,5,0.07,1.0,1.0,850,0.9952941176470588,0.003207235311556292,0.01250866179801069,-0.035087874526918125,0.01563570609783683,0.03901183247072576,0.0,0.0,0.0
unknown_mixed,slip_compliance,7101,650,850,mechanism_first_reject,5,0.07,1.0,1.0,850,0.9894117647058823,0.004573730119382241,0.014648946128218543,-0.03514874036242433,0.015696571933343024,0.04093928434142252,0.0,0.0,0.6
unknown_mixed,slip_compliance,7101,650,850,oracle_best_repair,5,0.07,1.0,1.0,850,1.0,0.00010424422783992196,0.00018814266525823964,-0.019452168429081325,0.0,0.0,1.0,,
unknown_mixed,slip_compliance,7102,650,850,nominal_no_adaptation,5,0.07,1.0,1.0,850,0.9670588235294117,0.011112076764794808,0.02710248138499971,-0.0419817939550969,0.022479647071268847,0.05188554778994429,0.0,,
unknown_mixed,slip_compliance,7102,650,850,single_robust_repair,5,0.07,1.0,1.0,850,1.0,0.006941978444680921,0.01524770984817736,-0.029855697289570056,0.01035355040574203,0.023483710681605992,0.0,,
unknown_mixed,slip_compliance,7102,650,850,passive_stat_fine,5,0.07,1.0,1.0,850,1.0,0.006941978444680921,0.01524770984817736,-0.029855697289570056,0.01035355040574203,0.023483710681605992,0.0,,
unknown_mixed,slip_compliance,7102,650,850,probe_nearest_neighbor,5,0.07,1.0,1.0,850,0.9882352941176471,0.003871169993483003,0.014202711094798648,-0.03611564820521077,0.016613501321382732,0.0410683351442802,0.0,0.0,0.0
unknown_mixed,slip_compliance,7102,650,850,mechanism_first,5,0.07,1.0,1.0,850,0.9882352941176471,0.003871169993483003,0.014202711094798648,-0.03611564820521077,0.016613501321382732,0.0410683351442802,0.0,0.0,0.0
unknown_mixed,slip_compliance,7102,650,850,mechanism_first_reject,5,0.07,1.0,1.0,850,0.9823529411764705,0.005760236319936949,0.021026273604684342,-0.0367063073169809,0.017204160433152902,0.047100730472013436,0.0,0.0,0.6541176470588236
unknown_mixed,slip_compliance,7102,650,850,oracle_best_repair,5,0.07,1.0,1.0,850,1.0,0.0001077630376010302,0.00019775188897053209,-0.019502146883828057,0.0,0.0,1.0,,
