method,n,success_rate,mean_reward,mean_final_error
passive_stat_oracle,1200,1.0,-0.033283940091810016,0.007581679131128299
mechanism_first,1200,1.0,-0.021943760697267216,0.0016858291008449993
oracle_mechanism,1200,1.0,-0.021943760697267216,0.0016858291008449993
oracle_best_repair,1200,1.0,-0.021943760697267216,0.0016858291008449993
single_robust_repair,1200,0.9225,-0.04434951320332081,0.02264434809828965
gain_only_sysid,1200,0.9158333333333334,-0.0998555302335523,0.05502294848745246
nuisance_nearest_neighbor,1200,0.7733333333333333,-0.12841044805415408,0.09345041084126869
nominal_no_adaptation,1200,0.6791666666666667,-0.12216052554073804,0.09188128752526477
