method,mechanism,n,success_rate,mean_final_error
gain_only_sysid,compliance,294,1.0,3.5804228126458213e-06
gain_only_sysid,delay,291,0.9759450171821306,0.025429220385110043
gain_only_sysid,gain,315,1.0,0.00012697615490233168
gain_only_sysid,slip,300,0.6866666666666666,0.1952886163992493
mechanism_first,compliance,294,1.0,0.0003004172506190568
mechanism_first,delay,291,1.0,0.006505842613531852
mechanism_first,gain,315,1.0,0.00012697615490233168
mechanism_first,slip,300,1.0,4.915200000010778e-06
nominal_no_adaptation,compliance,294,1.0,0.001357478307482837
nominal_no_adaptation,delay,291,0.0,0.1983090019102152
nominal_no_adaptation,gain,315,1.0,0.025482689253632663
nominal_no_adaptation,slip,300,0.6866666666666666,0.1470782657905029
nuisance_nearest_neighbor,compliance,294,1.0,0.00391321029197383
nuisance_nearest_neighbor,delay,291,0.584192439862543,0.07503897001374864
nuisance_nearest_neighbor,gain,315,0.7968253968253968,0.03519392499012903
nuisance_nearest_neighbor,slip,300,0.71,0.26022527512596866
oracle_best_repair,compliance,294,1.0,0.0003004172506190568
oracle_best_repair,delay,291,1.0,0.006505842613531852
oracle_best_repair,gain,315,1.0,0.00012697615490233168
oracle_best_repair,slip,300,1.0,4.915200000010778e-06
oracle_mechanism,compliance,294,1.0,0.0003004172506190568
oracle_mechanism,delay,291,1.0,0.006505842613531852
oracle_mechanism,gain,315,1.0,0.00012697615490233168
oracle_mechanism,slip,300,1.0,4.915200000010778e-06
passive_stat_oracle,compliance,294,1.0,0.0003004172506190568
passive_stat_oracle,delay,291,1.0,0.006505842613531852
passive_stat_oracle,gain,315,1.0,0.012919496682400586
passive_stat_oracle,slip,300,1.0,0.010156168767260014
single_robust_repair,compliance,294,1.0,0.010906064958482514
single_robust_repair,delay,291,1.0,0.006505842613531852
single_robust_repair,gain,315,0.7047619047619048,0.062567801521029
single_robust_repair,slip,300,1.0,0.00788258980163931
