probe_noise_sigma,repeat,n,mechanism_accuracy,success_rate,mean_final_error,mean_reward,misclassified
0.0,0,1200,1.0,1.0,0.0018563138699568811,-0.0218659415407268,0
0.0,1,1200,1.0,1.0,0.001644458196822537,-0.021889835014571823,0
0.0,2,1200,1.0,1.0,0.0016967123523027772,-0.02185859069465882,0
0.0,3,1200,1.0,1.0,0.0016102525071494268,-0.021890388314930894,0
0.0,4,1200,1.0,1.0,0.0018327092667185937,-0.021652061763925704,0
0.01,0,1200,1.0,1.0,0.0017175961774910412,-0.02174921042587891,0
0.01,1,1200,1.0,1.0,0.0017316111626227552,-0.021727200483451028,0
0.01,2,1200,1.0,1.0,0.0018156004707797731,-0.022062029052134564,0
0.01,3,1200,1.0,1.0,0.0016430421658813429,-0.0219176737085869,0
0.01,4,1200,1.0,1.0,0.0016630465055938368,-0.02174815214836206,0
0.02,0,1200,0.9766666666666667,0.9983333333333333,0.003757937462305816,-0.024513540262647668,28
0.02,1,1200,0.985,1.0,0.0016839348909544161,-0.02228931935262649,18
0.02,2,1200,0.9825,0.9975,0.004158955377741914,-0.024845026071354484,21
0.02,3,1200,0.985,0.9983333333333333,0.003456110375353469,-0.023909220329291814,18
0.02,4,1200,0.9808333333333333,0.9958333333333333,0.005964600561519355,-0.026592662694555163,23
0.04,0,1200,0.8241666666666667,0.9708333333333333,0.023241050638783862,-0.04997937481165426,211
0.04,1,1200,0.8166666666666667,0.9675,0.027384087320986357,-0.053964093148722254,220
0.04,2,1200,0.8316666666666667,0.9641666666666666,0.0349812354680929,-0.06187554326222558,202
0.04,3,1200,0.8408333333333333,0.9633333333333334,0.03113977168840366,-0.05707788178207867,191
0.04,4,1200,0.8366666666666667,0.9683333333333334,0.030256487193440578,-0.056686078574608785,196
0.08,0,1200,0.62,0.8783333333333333,0.08150885332928358,-0.11555967261762781,456
0.08,1,1200,0.6116666666666667,0.8741666666666666,0.08852848835938816,-0.12284896304132628,466
0.08,2,1200,0.59,0.8791666666666667,0.07333329732908148,-0.10810112079091863,492
0.08,3,1200,0.6166666666666667,0.8891666666666667,0.06882871663284248,-0.1017895172199428,460
0.08,4,1200,0.6025,0.8775,0.0807603284749776,-0.11526457610468477,477
0.12,0,1200,0.5125,0.8308333333333333,0.11477126643096516,-0.15304609537482458,585
0.12,1,1200,0.5133333333333333,0.8408333333333333,0.0966722204285072,-0.1337547505028524,584
0.12,2,1200,0.5183333333333333,0.825,0.11301639100494,-0.15046572544889164,578
0.12,3,1200,0.49833333333333335,0.8241666666666667,0.10145611930360025,-0.1383496294330306,602
0.12,4,1200,0.47,0.8066666666666666,0.1231248273732573,-0.16199573642701556,636
